objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Ora et Labora","70149","0","5","0","1","0","0","0","0","0","0","0","2","","","","","","38842108","7.36701","7.69745","3.8911","163","13001","thing","Ora et Labora","1","4","180","180","60","2011","1,2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Oracle of Delphi","193558","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","38776403","6.78958","7.28602","2.9756","629","6214","thing","The Oracle of Delphi","2","4","100","100","70","2016","2,3,4","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Orléans","164928","0","8","0","1","0","0","0","0","0","0","0","2","","","","","","38670071","7.88333","8.07378","3.0367","27","31139","thing","Orléans","2","4","90","90","90","2014","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Otys","222542","0","2","0","1","0","0","0","0","0","0","0","4","race game; otherwise good puzzle","","","","","47885109","6.30775","6.99545","2.8816","1472","4073","thing","Otys","2","4","60","60","60","2017","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Palaces of Carrara","129948","0","11","0","1","0","0","0","0","0","0","0","2","","","","","","39848546","6.68931","7.1633","2.6052","771","4427","thing","The Palaces of Carrara","2","4","60","60","60","2012","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Paladins of the West Kingdom","266810","0","11","0","1","0","0","0","0","0","0","0","3","","","","","","64793894","7.66437","8.03023","3.6962","66","20516","thing","Paladins of the West Kingdom","1","4","120","120","90","2019","1,2,3","2","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Palm Island","239464","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","50023177","6.66483","7.16739","1.7203","816","9982","thing","Palm Island","1","2","15","15","15","2018","1,2","1","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic Legacy: Season 1","161936","0","6","0","1","0","0","0","0","0","0","0","5","","","","","","38978270","8.43807","8.5884","2.8307","2","72035","thing","Pandemic Legacy: Season 1","2","4","60","60","60","2015","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic: The Cure","150658","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","68683696","7.00062","7.2828","2.0579","407","15552","thing","Pandemic: The Cure","2","5","30","30","30","2014","1,2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandoria Merchants","312372","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","78348288","5.5385","6.47415","3","11745","259","thing","Pandoria Merchants","1","4","90","90","30","2020","1,2","1","8","","","","","","","standalone","","","","","","","","","","","","","","",""
"Paper Dungeons: A Dungeon Scrawler Game","291962","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","89509557","6.14303","7.40096","2.069","1977","2514","thing","Paper Dungeons: A Dungeon Scrawler Game","1","8","30","30","30","2020","1,2,3,4,5,6","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Paper Tales","217861","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","89213035","6.57452","7.05894","2.1325","948","6124","thing","Paper Tales","2","5","30","30","30","2017","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Paperback","141572","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","42080394","6.90952","7.17244","1.9962","505","15026","thing","Paperback","2","5","45","45","45","2014","2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Paris","282954","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","77451355","6.38869","7.31556","2.7778","1287","3378","thing","Paris","2","4","90","90","90","2020","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"PARKS","266524","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","89213096","7.46835","7.7822","2.1563","120","25951","thing","PARKS","1","5","60","60","30","2019","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Passing Through Petra","257966","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","61316777","5.76306","6.72872","2.6","4248","832","thing","Passing Through Petra","2","4","60","60","60","2018","2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Patchwork","163412","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","39035808","7.5267","7.63216","1.6196","98","81131","thing","Patchwork","2","2","30","30","15","2014","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Rise of the Runelords – Base Set","133038","0","47","0","1","0","0","0","0","0","0","0","3","","","","","","28096550","6.91737","7.19083","2.7133","493","18530","thing","Pathfinder Adventure Card Game: Rise of the Runelords – Base Set","1","4","90","90","90","2013","1,2,3,4","3,4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Pendulum","312804","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","74843290","5.94724","6.60782","2.9123","2850","3737","thing","Pendulum","1","5","90","90","60","2020","2,3,4,5","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Penny Rails","251444","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","61316913","5.51043","5.89394","2","16476","366","thing","Penny Rails","2","2","20","20","20","2019","2","2","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pessoa","309728","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","91757145","5.56987","8.39112","2.75","8992","113","thing","Pessoa","1","4","75","75","45","2022","3,4","4","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pharaon","282414","10","3","0","1","0","0","0","0","0","0","0","3","","","","","","80621726","6.22479","7.45848","2.7258","1715","1848","thing","Pharaon","1","5","75","75","30","2019","1,2,3,4,5","1,2,3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Piepmatz","246200","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","80621348","6.32875","7.12519","2.0833","1426","3583","thing","Piepmatz","2","4","40","40","20","2018","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Planetoid","232201","0","","0","1","0","0","0","0","0","0","0","3","","","","","","61695598","5.63324","7.06625","2","6406","515","thing","Planetoid","1","4","40","40","25","2019","2,3,4","","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Pocket Mars","223779","0","","0","1","0","0","0","0","0","0","0","3","","","","","","84102078","5.97517","6.49244","2.3279","2688","3893","thing","Pocket Mars","1","4","30","30","15","2017","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Point Salad","274960","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","69279797","7.02555","7.2668","1.1646","389","21003","thing","Point Salad","2","6","30","30","15","2019","2,3,4,5,6","","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Porta Nigra","172385","0","3","0","1","0","0","0","0","0","0","0","2","Bricks on bricks. Small hand of cards, four quadrants, many area majorities","","","","","39736129","6.42758","7.17805","2.9902","1211","4025","thing","Porta Nigra","2","4","120","120","75","2015","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Praetor","137776","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","42080419","5.94747","6.56655","3","2849","2502","thing","Praetor","2","5","75","75","75","2014","2,3,4","","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Praga Caput Regni","308765","10","5","0","1","0","0","0","0","0","0","0","3","","","","","","78232534","7.36317","8.0754","3.7361","166","8333","thing","Praga Caput Regni","1","4","150","150","45","2020","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Prêt-à-Porter","87890","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","51690048","6.78817","7.38229","3.5816","631","7866","thing","Prêt-à-Porter","2","4","90","90","90","2010","2,3,4","4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Prodigals Club","181796","0","1","0","1","0","0","0","0","0","0","0","4","","","","","","39310527","6.53476","7.30808","3.2556","1019","4601","thing","The Prodigals Club","2","5","100","100","40","2015","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Project L","260180","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","91295720","6.80773","7.59093","1.5195","609","6045","thing","Project L","1","4","40","40","20","2020","1,2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pulsar 2849","228341","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","48872491","7.23974","7.70398","3.3534","233","9794","thing","Pulsar 2849","2","4","90","90","60","2017","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Quacks of Quedlinburg","244521","0","8","0","1","0","0","0","0","0","0","0","3","","","","","","58356440","7.68847","7.85096","1.9496","57","48666","thing","The Quacks of Quedlinburg","2","4","45","45","45","2018","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Quests of Valeria","187680","0","1","0","1","0","0","0","0","0","0","0","3","","KickStarter","","","","39116137","6.21883","6.95211","2.2075","1729","4022","thing","Quests of Valeria","1","5","45","45","20","2017","1,2,3","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Qwinto","183006","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","89210968","6.44847","7.02555","1.3333","1174","5175","thing","Qwinto","2","6","15","15","15","2015","2,3,4,5,6","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Race to the New Found Land","243696","0","1","0","1","0","0","0","0","0","0","0","4","","","","","","49840213","5.82228","6.85322","2.7222","3700","1155","thing","Race to the New Found Land","2","4","90","90","60","2018","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Ragusa","253635","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","62336743","6.18141","7.02029","2.7679","1856","2541","thing","Ragusa","1","5","80","80","40","2019","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Raiders of the North Sea","170042","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","66128346","7.54545","7.77132","2.5368","94","24685","thing","Raiders of the North Sea","2","4","80","80","60","2015","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Railroad Ink: Deep Blue Edition","245654","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","56945354","6.94221","7.24057","1.4747","466","15300","thing","Railroad Ink: Deep Blue Edition","1","6","30","30","20","2018","1,2,3,4,5,6","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Railroad Revolution","207691","0","6","0","1","0","0","0","0","0","0","0","5","","","","","","39176541","6.61213","7.35702","3.25","885","4036","thing","Railroad Revolution","2","4","90","90","45","2016","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Rajas of the Ganges","220877","0","11","0","1","0","0","0","0","0","0","0","3","Sept/Oct 2017 (Essen) - cool dice as a resource, from the Brands","","","","","41845800","7.39819","7.72735","2.8905","147","13997","thing","Rajas of the Ganges","2","4","75","75","45","2017","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Rajas of the Ganges: The Dice Charmers","318553","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","77451325","6.4506","7.60714","2.3171","1168","2960","thing","Rajas of the Ganges: The Dice Charmers","2","5","45","45","30","2020","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Ravens of Thri Sahashri","150293","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","77127366","6.17846","7.15747","3.439","1871","3298","thing","The Ravens of Thri Sahashri","2","2","45","45","45","2013","2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Red Rising","329465","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","84050305","6.64648","7.19599","2.2701","840","7981","thing","Red Rising","1","6","60","60","45","2021","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Res Arcana","262712","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","68682851","7.46058","7.73697","2.6124","123","20747","thing","Res Arcana","2","4","60","60","30","2019","2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Rialto","119591","0","9","0","1","0","0","0","0","0","0","0","3","","","","","","39647432","6.46836","6.90618","2.5458","1143","4609","thing","Rialto","2","5","45","45","45","2013","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Rivals for Catan","66056","0","3","0","1","0","0","0","0","0","0","0","1","","","","","","39063095","6.60553","6.9632","2.323","897","14442","thing","Rivals for Catan","2","2","120","120","45","2010","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Riverboat","227515","0","4","0","1","0","0","0","0","0","0","0","4","2017 - Kiesling!","","","","","44015939","6.59855","7.47028","2.9059","908","3720","thing","Riverboat","2","4","90","90","90","2017","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Robin of Locksley","280132","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","68782147","6.00542","7.05714","1.85","2531","1466","thing","Robin of Locksley","2","2","45","45","30","2019","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Rococo: Deluxe Edition","296100","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","77450759","6.92116","8.2922","3.026","0","4251","thing","Rococo: Deluxe Edition","1","5","120","120","60","2020","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Roll for Adventure","255683","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","89223440","5.93646","6.81159","2.0435","2893","1900","thing","Roll for Adventure","2","4","30","30","30","2018","1,2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Roll for the Galaxy","132531","0","17","0","1","0","0","0","0","0","0","0","3","","","","","","38938767","7.49602","7.64244","2.7753","106","34798","thing","Roll for the Galaxy","2","5","45","45","45","2014","2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Roll Player Adventures","254708","0","11","0","1","0","0","0","0","0","0","0","3","","","","","","91295707","6.32091","8.46936","2.32","1441","2711","thing","Roll Player Adventures","1","4","150","150","90","2021","1,2,3","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Roll Through the Ages: The Bronze Age","37380","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","51220735","6.68109","6.86436","1.7807","786","13190","thing","Roll Through the Ages: The Bronze Age","1","4","45","45","30","2008","1,2,3,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Rolled West","280041","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","66127515","5.60118","6.06743","1.4","7430","516","thing","Rolled West","2","4","30","30","20","2019","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Rome & Roll","267009","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","74843442","5.92658","6.97094","3.3571","2961","1984","thing","Rome & Roll","1","4","90","90","60","2020","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Round House","205498","0","2","0","1","0","0","0","0","0","0","0","4","","","","","","40420600","5.99125","7.13234","3.3571","2607","1794","thing","Round House","2","5","90","90","60","2016","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Rune Stones","285265","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","67144108","6.27671","7.27264","2.3333","1553","2503","thing","Rune Stones","2","4","60","60","60","2019","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Russian Railroads","144733","10","8","0","1","0","0","0","0","0","0","0","3","","","","","","38817039","7.52573","7.7604","3.4087","99","15285","thing","Russian Railroads","2","4","120","120","90","2013","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sagani","309105","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","89212178","6.12667","7.32558","2.0606","2038","1733","thing","Sagani","1","4","60","60","30","2020","1,2,3,4","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sagrada","199561","0","6","0","1","0","0","0","0","0","0","0","2","","","","","","42010924","7.36098","7.51081","1.9256","168","49316","thing","Sagrada","1","4","45","45","30","2017","1,2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Saint Petersburg","9217","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","43113632","7.07997","7.28661","2.4653","337","12320","thing","Saint Petersburg","2","4","60","60","45","2004","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sanssouci","146816","0","7","0","1","0","0","0","0","0","0","0","2","","","","","","39875038","6.24546","7.1275","2.0984","1642","2227","thing","Sanssouci","2","4","45","45","30","2013","2,3,4","","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Schinderhannes","46410","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","84051497","5.58686","6.40787","2.6667","8061","356","thing","Schinderhannes","1","4","45","45","45","2009","2,3","2","","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Scorpius Freighter","256669","0","2","0","1","0","0","0","0","0","0","0","4","","","","","","55532835","5.86639","7.02375","2.4167","3339","1176","thing","Scorpius Freighter","2","4","75","75","45","2018","2,3,4","3","10","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Scythe","169786","0","17","0","1","0","0","0","0","0","0","0","3","","","","","","38669888","8.06006","8.21436","3.4269","14","89016","thing","Scythe","1","5","115","115","90","2016","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Search for Planet X","279537","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","73101371","7.35062","8.12816","2.3208","170","8783","thing","The Search for Planet X","1","4","60","60","60","2020","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Seastead","307656","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","77450534","5.66844","6.88777","2.6364","5603","626","thing","Seastead","1","2","30","30","30","2020","1,2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sentient","223855","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","61316812","6.47791","7.23178","2.25","1127","2930","thing","Sentient","2","4","60","60","45","2017","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Seven Bridges","266188","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","80621516","5.73485","7.57705","2.5","4601","587","thing","Seven Bridges","1","6","90","90","15","2020","1,2,3,4,5,6","1,2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Shipwreck Arcana","220517","9.9","22","0","1","0","0","0","0","0","0","0","3","","","","","","61316947","6.68064","7.4868","2.1636","787","4101","thing","The Shipwreck Arcana","2","5","30","30","10","2017","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Shipwrights of the North Sea","75547","0","","0","1","0","0","0","0","0","0","0","3","","","","","","32056358","5.90428","6.40251","2.3088","3104","3663","thing","Shipwrights of the North Sea","2","5","60","60","60","2014","2,3,4,5","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Signorie","177678","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","39735669","6.68918","7.42059","3.5584","772","3284","thing","Signorie","2","4","120","120","90","2015","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Silver & Gold","270673","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","66128066","6.86614","7.29685","1.181","548","11031","thing","Silver & Gold","2","4","20","20","20","2019","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Snowdonia","119432","0","3","0","1","1","0","0","0","0","0","0","3","","plus the Master Set cards (not the Master Set box)","","","","40519136","6.8589","7.35803","2.9965","555","4888","thing","Snowdonia","1","5","90","90","30","2012","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Solarius Mission","170199","0","2","0","1","0","0","0","0","0","0","0","5","Poor quality, terrible rule book, other games do this better","","","","","39874603","5.90639","7.19432","3.9487","3090","652","thing","Solarius Mission","2","4","150","150","60","2016","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Space Base","242302","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","51713872","7.30983","7.59645","2.1171","195","18117","thing","Space Base","2","5","60","60","60","2018","2,3,4,5","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Space Explorers","235817","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","62336576","6.09636","7.03944","2.25","2147","2383","thing","Space Explorers","2","4","40","40","20","2017","2,3,4","","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Specialists","320992","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","84051526","5.61665","7.25858","2.7273","6894","381","thing","The Specialists","1","4","75","75","30","2021","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Spirit Island","162886","10","15","0","1","0","0","0","0","0","0","0","4","","","","","","44528808","8.14244","8.36474","4.0417","9","49843","thing","Spirit Island","1","4","120","120","90","2017","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Sprawlopolis","251658","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","56945677","7.01375","7.4302","1.8452","398","15345","thing","Sprawlopolis","1","4","20","20","15","2018","1,2","1","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Spyrium","137269","0","1","0","1","0","0","0","0","0","0","0","4","","","","","","42020766","6.70427","7.05645","2.8979","748","7255","thing","Spyrium","2","5","75","75","75","2013","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Stellar","293678","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","80621931","6.07843","7.45555","2.1818","2225","2079","thing","Stellar","2","2","30","30","30","2020","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Subdivision","155173","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","42080370","5.9208","6.48284","2.381","3003","2774","thing","Subdivision","1","4","45","45","45","2014","1,2,3,4","","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Succulent","299372","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","89212791","5.773","7.01984","2.25","4148","957","thing","Succulent","2","4","60","60","45","2020","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Super Mega Lucky Box","341530","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","89509545","5.93566","7.3811","1.25","2899","1223","thing","Super Mega Lucky Box","1","6","20","20","20","2021","1,2,3,4,5,6","3,4,5,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tabannusi: Builders of Ur","316786","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","90634209","6.01041","7.62248","3.8302","2510","1497","thing","Tabannusi: Builders of Ur","1","4","120","120","120","2021","1,2,3,4","3,4","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tales of the Arabian Nights","34119","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64793878","6.92369","7.1859","2.1556","487","17397","thing","Tales of the Arabian Nights","1","6","120","120","120","2009","2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Tang Garden","252153","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","72944037","6.71777","7.51172","2.5957","735","6957","thing","Tang Garden","1","4","60","60","40","2020","1,2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tapestry","286096","10","28","0","1","0","0","0","0","0","0","0","3","","","","","","63867092","7.20614","7.45619","2.8984","250","20846","thing","Tapestry","1","5","120","120","90","2019","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Targi","118048","0","7","0","1","0","0","0","0","0","0","0","1","","","","","","38817050","7.43617","7.6414","2.3543","132","27667","thing","Targi","2","2","60","60","60","2012","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Taverns of Tiefenthal","269207","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","66127901","7.23406","7.60948","2.6959","236","16177","thing","The Taverns of Tiefenthal","2","4","60","60","60","2019","2,3,4","2,3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tawantinsuyu: The Inca Empire","306481","10","3","0","1","0","0","0","0","0","0","0","3","","","","","","76066990","6.50447","7.59491","4.0671","1067","4127","thing","Tawantinsuyu: The Inca Empire","1","4","120","120","60","2020","1,2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tekhenu: Obelisk of the Sun","297030","10","9","0","1","0","0","0","0","0","0","0","3","","Their games just keep getting stronger with ever meatier dice use.","","","","74194675","7.09438","7.84856","4.0904","329","7705","thing","Tekhenu: Obelisk of the Sun","1","4","120","120","60","2020","1,2,3,4","3","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
